Zero-Overhead Path Prediction with Progressive Symbolic Execution,R. Rutledge; S. Park; H. Khan; A. Orso; M. Prvulovic; A. Zajic,2019
Tool Choice Matters: JavaScript Quality Assurance Tools and Usage Outcomes in GitHub Projects,D. Kavaler; A. Trockman; B. Vasilescu; V. Filkov,2019
Investigating the Effects of Gender Bias on GitHub,N. Imtiaz; J. Middleton; J. Chakraborty; N. Robson; G. Bai; E. Murphy-Hill,2019
Training Binary Classifiers as Data Structure Invariants,F. Molina; R. Degiovanni; P. Ponzio; G. Regis; N. Aguirre; M. Frias,2019
Symbolic Model Extraction for Web Application Verification,I. Bocic; T. Bultan,2017
The Evolution of Continuous Experimentation in Software Product Development: From Data to a Data-Driven Organization at Scale,A. Fabijan; P. Dmitriev; H. H. Olsson; J. Bosch,2017
Adaptive Unpacking of Android Apps,L. Xue; X. Luo; L. Yu; S. Wang; D. Wu,2017
Latent Patterns in Activities: A Field Study of How Developers Manage Context,S. Chattopadhyay; N. Nelson; Y. Ramirez Gonzalez; A. Amelia Leon; R. Pandita; A. Sarma,2019
Learning Syntactic Program Transformations from Examples,R. Rolim; G. Soares; L. D'Antoni; O. Polozov; S. Gulwani; R. Gheyi; R. Suzuki; B. Hartmann,2017
Why Does Code Review Work for Open Source Software Communities?,A. Alami; M. Leavitt Cohn; A. W?sowski,2019
The Seven Sins: Security Smells in Infrastructure as Code Scripts,A. Rahman; C. Parnin; L. Williams,2019
IconIntent: Automatic Identification of Sensitive UI Widgets Based on Icon Classification for Android Apps,X. Xiao; X. Wang; Z. Cao; H. Wang; P. Gao,2019
Detecting Atomicity Violations for Event-Driven Node.js Applications,X. Chang; W. Dou; Y. Gao; J. Wang; J. Wei; T. Huang,2019
Dynamic Slicing for Android,T. Azim; A. Alavi; I. Neamtiu; R. Gupta,2019
The Product Backlog,T. Sedano; P. Ralph; C. P¨¦raire,2019
How Do Developers Fix Cross-Project Correlated Bugs? A Case Study on the GitHub Scientific Python Ecosystem,W. Ma; L. Chen; X. Zhang; Y. Zhou; B. Xu,2017
DeepPerf: Performance Prediction for Configurable Software with Deep Sparse Neural Network,H. Ha; H. Zhang,2019
Heuristically Matching Solution Spaces of Arithmetic Formulas to Efficiently Reuse Solutions,A. Aquino; G. Denaro; M. Pezz¨¨,2017
Developer Reading Behavior While Summarizing Java Methods: Size and Context Matters,N. J. Abid; B. Sharif; N. Dragan; H. Alrasheed; J. I. Maletic,2019
SafeCheck: Safety Enhancement of Java Unsafe API,S. Huang; J. Guo; S. Li; X. Li; Y. Qi; K. Chow; J. Huang,2019
StoryDroid: Automated Generation of Storyboard for Android Apps,S. Chen; L. Fan; C. Chen; T. Su; W. Li; Y. Liu; L. Xu,2019
Exposing Library API Misuses Via Mutation Analysis,M. Wen; Y. Liu; R. Wu; X. Xie; S. Cheung; Z. Su,2019
Semantically Enhanced Software Traceability Using Deep Learning Techniques,J. Guo; J. Cheng; J. Cleland-Huang,2017
A System Identification Based Oracle for Control-CPS Software Fault Localization,Z. He; Y. Chen; E. Huang; Q. Wang; Y. Pei; H. Yuan,2019
Detecting Incorrect Build Rules,N. Licker; A. Rice,2019
Unsupervised Software-Specific Morphological Forms Inference from Informal Discussions,C. Chen; Z. Xing; X. Wang,2017
ActionNet: Vision-Based Workflow Action Recognition From Programming Screencasts,D. Zhao; Z. Xing; C. Chen; X. Xia; G. Li,2019
Hunting for Bugs in Code Coverage Tools via Randomized Differential Testing,Y. Yang; Y. Zhou; H. Sun; Z. Su; Z. Zuo; L. Xu; B. Xu,2019
When Code Completion Fails: A Case Study on Real-World Completions,V. J. Hellendoorn; S. Proksch; H. C. Gall; A. Bacchelli,2019
Analyzing APIs Documentation and Code to Detect Directive Defects,Y. Zhou; R. Gu; T. Chen; Z. Huang; S. Panichella; H. Gall,2017
Deep Differential Testing of JVM Implementations,Y. Chen; T. Su; Z. Su,2019
Characterizing and Detecting Anti-Patterns in the Logging Code,B. Chen; Z. M. Jiang,2017
RESTler: Stateful REST API Fuzzing,V. Atlidakis; P. Godefroid; M. Polishchuk,2019
Supporting Analysts by Dynamic Extraction and Classification of Requirements-Related Knowledge,Z. Shakeri Hossein Abad; V. Gervasi; D. Zowghi; B. H. Far,2019
Travioli: A Dynamic Analysis for Detecting Data-Structure Traversals,R. Padhye; K. Sen,2017
Machine-Learning-Guided Selectively Unsound Static Analysis,K. Heo; H. Oh; K. Yi,2017
Adversarial Sample Detection for Deep Neural Network through Model Mutation Testing,J. Wang; G. Dong; J. Sun; X. Wang; P. Zhang,2019
FOCUS: A Recommender System for Mining API Function Calls and Usage Patterns,P. T. Nguyen; J. Di Rocco; D. Di Ruscio; L. Ochoa; T. Degueule; M. Di Penta,2019
Why Do Episodic Volunteers Stay in FLOSS Communities?,A. Barcomb; K. Stol; D. Riehle; B. Fitzgerald,2019
Detecting User Story Information in Developer-Client Conversations to Generate Extractive Summaries,P. Rodeghero; S. Jiang; A. Armaly; C. McMillan,2017
Supporting Software Developers with a Holistic Recommender System,L. Ponzanelli; S. Scalabrino; G. Bavota; A. Mocci; R. Oliveto; M. Di Penta; M. Lanza,2017
Distilling Neural Representations of Data Structure Manipulation using fMRI and fNIRS,Y. Huang; X. Liu; R. Krueger; T. Santander; X. Hu; K. Leach; W. Weimer,2019
Glacier: Transitive Class Immutability for Java,M. Coblenz; W. Nelson; J. Aldrich; B. Myers; J. Sunshine,2017
Adaptive Coverage and Operational Profile-Based Testing for Reliability Improvement,A. Bertolino; B. Miranda; R. Pietrantuono; S. Russo,2017
Distance-Based Sampling of Software Configuration Spaces,C. Kaltenecker; A. Grebhahn; N. Siegmund; J. Guo; S. Apel,2019
DifFuzz: Differential Fuzzing for Side-Channel Analysis,S. Nilizadeh; Y. Noller; C. S. Pasareanu,2019
Machine Learning-Based Detection of Open Source License Exceptions,C. Vendome; M. Linares-V¨¢squez; G. Bavota; M. Di Penta; D. German; D. Poshyvanyk,2017
Investigating the Impact of Multiple Dependency Structures on Software Defects,D. Cui; T. Liu; Y. Cai; Q. Zheng; Q. Feng; W. Jin; J. Guo; Y. Qu,2019
PEoPL: Projectional Editing of Product Lines,B. Behringer; J. Palz; T. Berger,2017
Interactive Production Performance Feedback in the IDE,J. Cito; P. Leitner; M. Rinard; H. C. Gall,2019
A Neural Model for Generating Natural Language Summaries of Program Subroutines,A. LeClair; S. Jiang; C. McMillan,2019
Becoming Agile: A Grounded Theory of Agile Transitions in Practice,R. Hoda; J. Noble,2017
"Understanding the Impressions, Motivations, and Barriers of One Time Code Contributors to FLOSS Projects: A Survey",A. Lee; J. C. Carver; A. Bosu,2017
Statistical Algorithmic Profiling for Randomized Approximate Programs,K. Joshi; V. Fernando; S. Misailovic,2019
A General Framework for Dynamic Stub Injection,M. Christakis; P. Emmisberger; P. Godefroid; P. M¨¹ller,2017
Multifaceted Automated Analyses for Variability-Intensive Embedded Systems,S. Lazreg; M. Cordy; P. Collet; P. Heymans; S. Mosser,2019
Type Migration in Ultra-Large-Scale Codebases,A. Ketkar; A. Mesbah; D. Mazinanian; D. Dig; E. Aftandilian,2019
PIVOT: Learning API-Device Correlations to Facilitate Android Compatibility Issue Detection,L. Wei; Y. Liu; S. Cheung,2019
Could I Have a Stack Trace to Examine the Dependency Conflict Issue?,Y. Wang; M. Wen; R. Wu; Z. Liu; S. H. Tan; Z. Zhu; H. Yu; S. Cheung,2019
Practical GUI Testing of Android Applications Via Model Abstraction and Refinement,T. Gu; C. Sun; X. Ma; C. Cao; C. Xu; Y. Yao; Q. Zhang; J. Lu; Z. Su,2019
Classifying Developers into Core and Peripheral: An Empirical Study on Count and Network Metrics,M. Joblin; S. Apel; C. Hunsen; W. Mauerer,2017
A Guided Genetic Algorithm for Automated Crash Reproduction,M. Soltani; A. Panichella; A. van Deursen,2017
Evaluating and Improving Fault Localization,S. Pearson; J. Campos; R. Just; G. Fraser; R. Abreu; M. D. Ernst; D. Pang; B. Keller,2017
Analysis and Detection of Information Types of Open Source Software Issue Discussions,D. Arya; W. Wang; J. L. C. Guo; J. Cheng,2019
Natural Software Revisited,M. Rahman; D. Palani; P. C. Rigby,2019
Automatic Text Input Generation for Mobile Testing,P. Liu; X. Zhang; M. Pistoia; Y. Zheng; M. Marques; L. Zeng,2017
Learning to Spot and Refactor Inconsistent Method Names,K. Liu; D. Kim; T. F. Bissyand¨¦; T. Kim; K. Kim; A. Koyuncu; S. Kim; Y. Le Traon,2019
ZenIDS: Introspective Intrusion Detection for PHP Applications,B. Hawkins; B. Demsky,2017
VFix: Value-Flow-Guided Precise Program Repair for Null Pointer Dereferences,X. Xu; Y. Sui; H. Yan; J. Xue,2019
View-Centric Performance Optimization for Database-Backed Web Applications,J. Yang; C. Yan; C. Wan; S. Lu; A. Cheung,2019
ReCDroid: Automatically Reproducing Android Application Crashes from Bug Reports,Y. Zhao; T. Yu; T. Su; Y. Liu; W. Zheng; J. Zhang; W. G.J. Halfond,2019
Automated Transplantation and Differential Testing for Clones,T. Zhang; M. Kim,2017
Parallel Refinement for Multi-Threaded Program Verification,L. Yin; W. Dong; W. Liu; J. Wang,2019
On Cross-Stack Configuration Errors,M. Sayagh; N. Kerzazi; B. Adams,2017
Supporting the Statistical Analysis of Variability Models,R. Heradio; D. Fernandez-Amoros; C. Mayr-Dorn; A. Egyed,2019
Making Malory Behave Maliciously: Targeted Fuzzing of Android Execution Environments,S. Rasthofer; S. Arzt; S. Triller; M. Pradel,2017
"Gigahorse: Thorough, Declarative Decompilation of Smart Contracts",N. Grech; L. Brent; B. Scholz; Y. Smaragdakis,2019
Analyzing and Supporting Adaptation of Online Code Examples,T. Zhang; D. Yang; C. Lopes; M. Kim,2019
"Graph-Based Mining of In-the-Wild, Fine-Grained, Semantic Code Change Patterns",H. A. Nguyen; T. N. Nguyen; D. Dig; S. Nguyen; H. Tran; M. Hilton,2019
Optimizing Test Placement for Module-Level Regression Testing,A. Shi; S. Thummalapenta; S. K. Lahiri; N. Bjorner; J. Czerwonka,2017
RClassify: Classifying Race Conditions in Web Applications via Deterministic Replay,L. Zhang; C. Wang,2017
"An Efficient, Robust, and Scalable Approach for Analyzing Interacting Android Apps",Y. Tsutano; S. Bachala; W. Srisa-An; G. Rothermel; J. Dinh,2017
Mimic: UI Compatibility Testing System for Android Apps,T. Ki; C. M. Park; K. Dantu; S. Y. Ko; L. Ziarek,2019
Test-Driven Code Review: An Empirical Study,D. Spadini; F. Palomba; T. Baum; S. Hanenberg; M. Bruntink; A. Bacchelli,2019
Recovering Variable Names for Minified Code with Usage Contexts,H. Tran; N. Tran; S. Nguyen; H. Nguyen; T. N. Nguyen,2019
SLF: Fuzzing without Valid Seed Inputs,W. You; X. Liu; S. Ma; D. Perry; X. Zhang; B. Liang,2019
Guiding Deep Learning System Testing Using Surprise Adequacy,J. Kim; R. Feldt; S. Yoo,2019
Grey-Box Concolic Testing on Binary Code,J. Choi; J. Jang; C. Han; S. K. Cha,2019
A Framework for Checking Regression Test Selection Tools,C. Zhu; O. Legunsen; A. Shi; M. Gligoric,2019
What Causes My Test Alarm? Automatic Cause Analysis for Test Alarms in System and Integration Testing,H. Jiang; X. Li; Z. Yang; J. Xuan,2017
To Type or Not to Type: Quantifying Detectable Bugs in JavaScript,Z. Gao; C. Bird; E. T. Barr,2017
Analysis and Testing of Notifications in Android Wear Applications,H. Zhang; A. Rountev,2017
Intention-Based Integration of Software Variants,M. Lillack; S. Stanciulescu; W. Hedman; T. Berger; A. W?sowski,2019
Rotten Green Tests,J. Delplanque; S. Ducasse; G. Polito; A. P. Black; A. Etien,2019
Reasonably-Most-General Clients for JavaScript Library Analysis,E. K. Kristensen; A. M?ller,2019
SMOKE: Scalable Path-Sensitive Memory Leak Detection for Millions of Lines of Code,G. Fan; R. Wu; Q. Shi; X. Xiao; J. Zhou; C. Zhang,2019
UML Diagram Refinement (Focusing on Class-and Use Case Diagrams),D. Faitelson; S. Tyszberowicz,2017
Performance Diagnosis for Inefficient Loops,L. Song; S. Lu,2017
CTRAS: Crowdsourced Test Report Aggregation and Summarization,R. Hao; Y. Feng; J. A. Jones; Y. Li; Z. Chen,2019
Precise Condition Synthesis for Program Repair,Y. Xiong; J. Wang; R. Yan; J. Zhang; S. Han; G. Huang; L. Zhang,2017
Probabilistic Disassembly,K. Miller; Y. Kwon; Y. Sun; Z. Zhang; X. Zhang; Z. Lin,2019
How Reliable is the Crowdsourced Knowledge of Security Implementation?,M. Chen; F. Fischer; N. Meng; X. Wang; J. Grossklags,2019
iSENSE: Completion-Aware Crowdtesting Management,J. Wang; Y. Yang; R. Krishna; T. Menzies; Q. Wang,2019
Mining Historical Test Logs to Predict Bugs and Localize Faults in the Test Logs,A. Amar; P. C. Rigby,2019
Feedback-Based Debugging,Y. Lin; J. Sun; Y. Xue; Y. Liu; J. Dong,2017
Exploring API Embedding for API Usages and Applications,T. D. Nguyen; A. T. Nguyen; H. D. Phan; T. N. Nguyen,2017
Automated Reporting of Anti-Patterns and Decay in Continuous Integration,C. Vassallo; S. Proksch; H. C. Gall; M. Di Penta,2019
Going Farther Together: The Impact of Social Capital on Sustained Participation in Open Source,H. S. Qiu; A. Nolte; A. Brown; A. Serebrenik; B. Vasilescu,2019
Can Latent Topics in Source Code Predict Missing Architectural Tactics?,R. Gopalakrishnan; P. Sharma; M. Mirakhorli; M. Galster,2017
GreenBundle: An Empirical Study on the Energy Impact of Bundled Processing,S. A. Chowdhury; A. Hindle; R. Kazman; T. Shuto; K. Matsui; Y. Kamei,2019
Clone Refactoring with Lambda Expressions,N. Tsantalis; D. Mazinanian; S. Rostami,2017
Detection and Repair of Architectural Inconsistencies in Java,N. Ghorbani; J. Garcia; S. Malek,2019
Pattern-Based Mining of Opinions in Q&A Websites,B. Lin; F. Zampetti; G. Bavota; M. Di Penta; M. Lanza,2019
Graph Embedding Based Familial Analysis of Android Malware using Unsupervised Learning,M. Fan; X. Luo; J. Liu; M. Wang; C. Nong; Q. Zheng; T. Liu,2019
SPAIN: Security Patch Analysis for Binaries towards Understanding the Pain and Pills,Z. Xu; B. Chen; M. Chandramohan; Y. Liu; F. Song,2017
Superion: Grammar-Aware Greybox Fuzzing,J. Wang; B. Chen; L. Wei; Y. Liu,2019
Do Developers Discover New Tools On The Toilet?,E. Murphy-Hill; E. K. Smith; C. Sadowski; C. Jaspan; C. Winter; M. Jorde; A. Knight; A. Trenk; S. Gross,2019
How Practitioners Perceive Coding Proficiency,X. Xia; Z. Wan; P. S. Kochhar; D. Lo,2019
An Unsupervised Approach for Discovering Relevant Tutorial Fragments for APIs,H. Jiang; J. Zhang; Z. Ren; T. Zhang,2017
Automated Refactoring of Legacy Java Software to Default Methods,R. Khatchadourian; H. Masuhara,2017
Easy Modelling and Verification of Unpredictable and Preemptive Interrupt-Driven Systems,M. Pan; S. Chen; Y. Pei; T. Zhang; X. Li,2019
ProEva: Runtime Proactive Performance Evaluation Based on Continuous-Time Markov Chains,G. Su; T. Chen; Y. Feng; D. S. Rosenblum,2017
How Good Is a Security Policy against Real Breaches? A HIPAA Case Study,?. Kafali; J. Jones; M. Petruso; L. Williams; M. P. Singh,2017
Safe Automated Refactoring for Intelligent Parallelization of Java 8 Streams,R. Khatchadourian; Y. Tang; M. Bagherzadeh; S. Ahmed,2019
Scalable Approaches for Test Suite Reduction,E. Cruciani; B. Miranda; R. Verdecchia; A. Bertolino,2019
NL2Type: Inferring JavaScript Function Types from Natural Language Information,R. S. Malik; J. Patra; M. Pradel,2019
Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews,F. Palomba; P. Salza; A. Ciurumelea; S. Panichella; H. Gall; F. Ferrucci; A. De Lucia,2017
Active Inductive Logic Programming for Code Search,A. Sivaraman; T. Zhang; G. Van den Broeck; M. Kim,2019
Challenges for Static Analysis of Java Reflection - Literature Review and Empirical Study,D. Landman; A. Serebrenik; J. J. Vinju,2017
RADAR: A Lightweight Tool for Requirements and Architecture Decision Analysis,S. A. Busari; E. Letier,2017
Towards Understanding and Reasoning About Android Interoperations,S. Bae; S. Lee; S. Ryu,2019
Software Documentation Issues Unveiled,E. Aghajani; C. Nagy; O. L. Vega-M¨¢rquez; M. Linares-V¨¢squez; L. Moreno; G. Bavota; M. Lanza,2019
On Reliability of Patch Correctness Assessment,X. D. Le; L. Bao; D. Lo; X. Xia; S. Li; C. Pasareanu,2019
How C++ Developers Use Immutability Declarations: An Empirical Study,J. Eyolfson; P. Lam,2019
Software Development Waste,T. Sedano; P. Ralph; C. P¨¦raire,2017
Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise,B. Floyd; T. Santander; W. Weimer,2017
Redundant Loads: A Software Inefficiency Indicator,P. Su; S. Wen; H. Yang; M. Chabbi; X. Liu,2019
Global Optimization of Numerical Programs Via Prioritized Stochastic Algebraic Transformations,X. Wang; H. Wang; Z. Su; E. Tang; X. Chen; W. Shen; Z. Chen; L. Wang; X. Zhang; X. Li,2019
Do Developers Read Compiler Error Messages?,T. Barik; J. Smith; K. Lubick; E. Holmes; J. Feng; E. Murphy-Hill; C. Parnin,2017
AdJust: Runtime Mitigation of Resource Abusing Third-Party Online Ads,W. Wang; I. L. Kim; Y. Zheng,2019
"9.6 Million Links in Source Code Comments: Purpose, Evolution, and Decay",H. Hata; C. Treude; R. G. Kula; T. Ishio,2019
Symbolic Repairs for GR(1) Specifications,S. Maoz; J. O. Ringert; R. Shalom,2019
The List is the Process: Reliable Pre-Integration Tracking of Commits on Mailing Lists,R. Ramsauer; D. Lohmann; W. Mauerer,2019
DockerizeMe: Automatic Inference of Environment Dependencies for Python Code Snippets,E. Horton; C. Parnin,2019
Harnessing Evolution for Multi-Hunk Program Repair,S. Saha; R. k. Saha; M. r. Prasad,2019
From Diversity by Numbers to Diversity as Process: Supporting Inclusiveness in Software Development Teams with Brainstorming,A. Filippova; E. Trainer; J. D. Herbsleb,2017
Socio-Technical Work-Rate Increase Associates With Changes in Work Patterns in Online Projects,F. Sarker; B. Vasilescu; K. Blincoe; V. Filkov,2019
Search-Driven String Constraint Solving for Vulnerability Detection,J. Thom¨¦; L. K. Shar; D. Bianculli; L. Briand,2017
Towards Automating Precision Studies of Clone Detectors,V. Saini; F. Farmahinifarahani; Y. Lu; D. Yang; P. Martins; H. Sajnani; P. Baldi; C. V. Lopes,2019
CRADLE: Cross-Backend Validation to Detect and Localize Bugs in Deep Learning Libraries,H. V. Pham; T. Lutellier; W. Qi; L. Tan,2019
AutoTap: Synthesizing and Repairing Trigger-Action Programs Using LTL Properties,L. Zhang; W. He; J. Martinez; N. Brackenbury; S. Lu; B. Ur,2019
"An Empirical Study on Mutation, Statement and Branch Coverage Fault Revelation That Avoids the Unreliable Clean Program Assumption",T. T. Chekam; M. Papadakis; Y. Le Traon; M. Harman,2017
2nd International Workshop on Rapid Continuous Software Engineering (RCoSE 2015),M. Tichy; J. Bosch; M. Goedicke; B. Fitzgerald,2015
8th International Workshop on Search-Based Software Testing (SBST 2015),G. Gay; G. Antoniol,2015
1st International Workshop on Software Protection (SPRO 2015),P. Falcarin; B. Wyseur,2015
5th International Workshop on the Twin Peaks of Requirements and Architecture (TwinPeaks 2015),M. Galster; M. Mirakhorli,2015
10th International Workshop on Automation of Software Test (AST 2015),R. Subramanyan; L. Mariani; D. Hao,2015
4th International Workshop on Games and Software Engineering (GAS 2015),J. Bishop; K. M. L. Cooper; W. Scacchi; J. Whitehead,2015
4th International Workshop on Realizing AI Synergies in Software Engineering (RAISE 2015),B. Turhan; A. Bener; R. Harrison; A. Miransky; C. Mericli; L. Minku,2015
3rd International Workshop on Software Engineering for Systems-of-Systems (SESoS 2015),F. Oquendo; P. Avgeriou; C. E. Cuesta; K. Drira; E. Y. Nakagawa; J. C. Maldonado; A. Zisman,2015
1st International Workshop on TEchnical and LEgal aspects of data pRIvacy and Security (TELERISE 2015),I. Matteucci; P. Mori; M. Petrocchi,2015
[Journal First] Model Comprehension for Security Risk Assessment: An Empirical Comparison of Tabular vs. Graphical Representations,K. Labunets; F. Massacci; F. Paci; S. Marczak; F. M. de Oliveira,2018
Global-Aware Recommendations for Repairing Violations in Exception Handling,E. A. Barbosa; A. Garcia,2018
Poster: Static Analysis of Concurrent Higher-Order Programs,Q. Stievenart; J. Nicolay; W. De Meuter; C. De Roover,2015
Poster: Model-based Run-time Variability Resolution for Robotic Applications,L. Gherardi; N. Hochgeschwender,2015
Workshop on Applications of Human Error Research to Improve Software Engineering (WAHESE 2015),G. S. Walia; J. C. Caver; G. Bradshaw,2015
Analysis of Android Inter-App Security Vulnerabilities Using COVERT,A. Sadeghi; H. Bagheri; S. Malek,2015
"Exploration, Analysis, and Manipulation of??Source Code Using srcML",J. I. Maletic; M. L. Collard,2015
Poster: MAPP: The Berkeley Model and Algorithm Prototyping Platform,T. Wang; K. Aadithya; B. Wu; J. Roychowdhury,2015
Poster: Software Development Risk Management: Using Machine Learning for Generating Risk Prompts,H. R. Joseph,2015
Correctness and Relative Correctness,N. Diallo; W. Ghardallou; A. Mili,2015
Load Testing Large-Scale Software Systems,Z. M. J. Jiang,2015
1st International Workshop on Big Data Software Engineering (BIGDSE 2015),L. Baresi; T. Menzies; A. Metzger; T. Zimmermann,2015
Software Engineering in Ferrari F1,C. Silenzi,2015
JRebel.Android: Runtime Class- and Resource Reloading for Android,R. Raudj?rv; A. R. Gregersen,2015
Fast and Precise Statistical Code Completion,P. Roos,2015
The Art and Science of Analyzing Software Data; Quantitative Methods,T. Menzies; L. Minku; F. Peters,2015
8th International Workshop on Cooperative and Human Aspects of Software Engineering (CHASE 2015),A. Begel; R. Prikladnicki; Y. Dittrich; C. R. B. d. Souza; A. Sarma; S. Athavale,2015
Smart Programming Playgrounds,R. Padhye; P. Dhoolia; S. Mani; V. S. Sinha,2015
Mining Temporal Properties of Data Invariants,C. Lemieux,2015
Enabling Testing of Android Apps,M. Linares-V¨¢squez,2015
2nd International Workshop on Context for Software Development (CSD 2015),K. Blincoe; D. Damian; G. Valetto; J. D. Herbsleb,2015
Code Repurposing as an Assessment Tool,J. Sant,2015
Qualitative Analysis of Knowledge Transfer in Pair Programming,F. Zieris,2015
Evolution-Aware Monitoring-Oriented Programming,O. Legunsen; D. Marinov; G. Rosu,2015
Commit Bubbles,T. Barik; K. Lubick; E. Murphy-Hill,2015
Towards Model Driven Architecture and Analysis of System of Systems Access Control,J. El Hachem,2015
Textual Analysis for Code Smell Detection,F. Palomba,2015
7th International Workshop on Modeling in Software Engineering (MiSE 2015),J. Gray; M. Chechik; V. Kulkarni; R. F. Paige,2015
Optimising Energy Consumption of Design Patterns,A. Noureddine; A. Rajan,2015
Safe Evolution Patterns for Software Product Lines,N. Dintzner,2015
Understanding Conflicts Arising from Collaborative Development,P. Accioly,2015
Post-Dominator Analysis for Precisely Handling Implicit Flows,A. Bichhawat,2015
4th International Workshop on Green and Sustainable Software (GREENS 2015),M. Morisio; P. Lago; N. Meyer; H. A. M¨¹ller; G. Scanniello,2015
5th International Workshop on Product LinE Approaches in Software Engineering PLE for a Sustainable Society (PLEASE 2015),J. Rubin; G. Botterweck; A. Pleuss; D. Weiss,2015
Towards a Practical Security Analysis Methodology,A. v. d. Berghe,2015
Code Reviews Do Not Find Bugs. How the Current Code Review Best Practice Slows Us Down,J. Czerwonka; M. Greiler; J. Tilford,2015
Deep Representations for Software Engineering,M. White,2015
Poster: Static Detection of Configuration-Dependent Bugs in Configurable Software,J. Al-Kofahi; L. Guo; H. V. Nguyen; H. A. Nguyen; T. N. Nguyen,2015
Bootstrapping Mobile App Development,S. Barnett; R. Vasa; J. Grundy,2015
scvRipper: Video Scraping Tool for Modeling Developers' Behavior Using Interaction Data,L. Bao; J. Li; Z. Xing; X. Wang; B. Zhou,2015
Mining Patterns of Sensitive Data Usage,V. Avdiienko,2015
A Declarative Foundation for Comprehensive History Querying,R. Stevens,2015
Poster: Interactive and Collaborative Source Code Annotation,R. Suzuki,2015
2nd International Workshop on Requirements Engineering and Testing (RET 2015),E. Bjarnason; M. Morandini; M. Borg; M. Unterkalmsteiner; M. Felderer; M. Staats,2015
2nd International Workshop on Software Engineering Methods in Spreadsheets (SEMS 2015),F. Hermans; R. F. Paige; P. Sestoft,2015
